CITY,TEAM,LEAGUE,YEAR,HOME_GMS,HOME_AVG,HOME_PCT,ROAD_GMS,ROAD_AVG,ROAD_PCT,OVR_GMS,OVR_AVG,OVR_PCT
Baltimore,Ravens,NFL,2013,8,"71,135",100.2,8,"67,117",96.9,16,"69,126",98.6
Atlanta,Falcons,NFL,2013,8,"70,224",98.6,7,"68,577",97.2,15,"69,455",97.9
San Francisco,49ers,NFL,2013,8,"69,732",99.3,7,"67,804",95.8,15,"68,832",97.7
Philadelphia,Eagles,NFL,2013,8,"69,144",102.3,8,"73,500",98.6,16,"71,322",100.4
Nashville,Titans,NFL,2013,8,"69,143",100,8,"63,082",93.9,16,"66,112",97.0
Boston,Patriots,NFL,2013,8,"68,756",100,8,"71,346",97.8,16,"70,051",98.9
Seattle,Seahawks,NFL,2013,8,"68,197",101.8,8,"68,569",97.9,16,"68,383",99.8
Buffalo,Bills,NFL,2013,7,"66,267",90.7,8,"66,204",92.8,15,"66,233",91.8
Indianapolis,Colts,NFL,2013,8,"65,950",104.7,8,"65,885",95.1,16,"65,918",99.6
Miami,Dolphins,NFL,2013,8,"64,319",85.5,8,"65,874",93.4,16,"65,096",89.3
Los Angeles,Rams,NFL,2013,8,"64,205",90.1,8,"67,349",91.8,16,"65,777",91.0
Minneapolis,Vikings,NFL,2013,7,"64,019",99.8,8,"70,987",100.5,15,"67,735",100.2
Detroit,Lions,NFL,2013,8,"63,796",98.9,8,"67,934",97.1,16,"65,865",98.0
Cincinnati,Bengals,NFL,2013,8,"63,297",96.6,8,"61,928",89.3,16,"62,612",92.9
Chicago,Bears,NFL,2013,8,"62,358",101.4,8,"69,776",98.9,16,"66,067",100.1
Phoenix,AZ Cardinals,NFL,2013,8,"61,033",96.3,8,"63,679",93.5,16,"62,356",94.8
Jacksonville,Jaguars,NFL,2013,7,"59,940",89.2,8,"65,634",95.8,15,"62,977",92.8
Tampa,Buccaneers,NFL,2013,8,"58,818",89.6,8,"68,196",96.4,16,"63,507",93.1
Pittsburgh,Steelers,NFL,2013,8,"57,311",88.2,7,"69,109",97.4,15,"62,816",92.7
Los Angeles,Chargers,NFL,2013,8,"56,957",87.2,8,"69,917",99.9,16,"63,437",93.8
Oakland,Raiders,NFL,2013,8,"50,444",80,8,"75,135",99.6,16,"62,789",90.7
Dallas,Cowboys,NFL,2014,8,"90,069",112.6,7,"69,840",96.9,15,"80,629",105.7
New York,NY Giants,NFL,2014,8,"78,967",95.7,8,"70,453",98.5,16,"74,710",97.0
New York,Jets,NFL,2014,8,"78,160",94.7,8,"66,494",96.9,16,"72,327",95.7
Green Bay,Packers,NFL,2014,8,"78,139",107.1,8,"65,430",98.7,16,"71,785",103.1
Washington,Redskins,NFL,2014,8,"77,964",85,8,"69,448",101.7,16,"73,706",92.2
Denver,Broncos,NFL,2014,8,"76,939",101.1,8,"67,656",96.6,16,"72,297",98.9
Kansas City,Chiefs,NFL,2014,8,"74,967",97.7,8,"65,938",94.9,16,"70,453",96.3
Charlotte,Panthers,NFL,2014,8,"73,607",99.8,8,"66,806",99.5,16,"70,207",99.7
New Orleans,Saints,NFL,2014,8,"73,112",100.2,8,"68,635",99.0,16,"70,874",99.6
Houston,Texans,NFL,2014,8,"71,766",101,8,"67,731",96.2,16,"69,748",98.6
Baltimore,Ravens,NFL,2014,8,"71,044",100.1,8,"65,972",95.6,16,"68,508",97.9
San Francisco,49ers,NFL,2014,8,"70,774",103.3,8,"70,493",98.9,16,"70,633",101.1
Atlanta,Falcons,NFL,2014,7,"70,502",99,8,"67,997",98.1,15,"69,166",98.5
Miami,Dolphins,NFL,2014,8,"70,035",92.7,7,"69,297",98.3,15,"69,690",95.2
Philadelphia,Eagles,NFL,2014,8,"69,596",103,8,"74,616",100.6,16,"72,106",101.8
Nashville,Titans,NFL,2014,8,"69,143",100,8,"67,965",94.8,16,"68,554",97.3
Boston,Patriots,NFL,2014,8,"68,756",100,8,"70,241",99.4,16,"69,498",99.7
Seattle,Seahawks,NFL,2014,8,"68,412",99.5,8,"69,999",100.7,16,"69,206",100.1
Buffalo,Bills,NFL,2014,8,"67,522",93.8,8,"68,224",96.9,16,"67,873",95.3
Cleveland,Browns,NFL,2014,8,"67,425",92.1,8,"68,056",97.9,16,"67,740",94.9
Los Angeles,Rams,NFL,2014,8,"65,432",91.8,8,"68,259",96.2,16,"66,845",94.0
Indianapolis,Colts,NFL,2014,8,"65,375",103.8,8,"72,281",99.0,16,"68,828",101.2
Detroit,Lions,NFL,2014,8,"63,024",97.7,7,"67,861",100.5,15,"65,281",99.0
Jacksonville,Jaguars,NFL,2014,7,"62,961",93.7,8,"67,786",95.1,15,"65,534",94.5
Pittsburgh,Steelers,NFL,2014,8,"62,226",95.7,8,"70,341",98.1,16,"66,283",97.0
Phoenix,AZ Cardinals,NFL,2014,8,"61,979",97.8,8,"69,686",97.2,16,"65,832",97.4
Chicago,Bears,NFL,2014,8,"61,681",100.3,8,"69,614",100.9,16,"65,647",100.6
Cincinnati,Bengals,NFL,2014,8,"60,703",92.7,8,"67,442",98.0,16,"64,072",95.4
Tampa,Buccaneers,NFL,2014,8,"59,659",90.9,8,"68,318",95.2,16,"63,988",93.2
Oakland,Raiders,NFL,2014,8,"57,416",102.5,8,"69,267",99.4,16,"63,341",100.8
Los Angeles,Chargers,NFL,2014,8,"57,018",87.3,8,"67,908",95.0,16,"62,463",91.3
Minneapolis,Vikings,NFL,2014,8,"52,238",104.5,8,"65,314",94.7,16,"58,776",98.8
Dallas,Cowboys,NFL,2015,8,"91,459",91.5,8,"72,607",98.3,16,"82,033",94.4
New York,NY Giants,NFL,2015,8,"79,001",95.8,8,"70,769",95.4,16,"74,885",95.6
Green Bay,Packers,NFL,2015,8,"78,413",107.2,8,"65,059",99.0,16,"71,736",103.3
New York,Jets,NFL,2015,8,"78,160",94.7,8,"72,795",99.2,16,"75,477",96.9
Denver,Broncos,NFL,2015,8,"76,922",101,8,"65,876",97.9,16,"71,399",99.6
Washington,Redskins,NFL,2015,8,"76,209",89.7,8,"73,301",96.2,16,"74,755",92.8
Kansas City,Chiefs,NFL,2015,7,"74,086",96.5,8,"66,072",97.7,15,"69,812",97.1
Charlotte,Panthers,NFL,2015,8,"74,056",100.4,8,"70,654",94.3,16,"72,355",97.3
New Orleans,Saints,NFL,2015,8,"73,038",95.5,8,"68,840",97.6,16,"70,939",96.5
Houston,Texans,NFL,2015,8,"71,769",101,8,"65,581",95.7,16,"68,675",98.4
Baltimore,Ravens,NFL,2015,8,"71,002",100,8,"64,487",95.1,16,"67,744",97.6
San Francisco,49ers,NFL,2015,8,"70,799",103.4,8,"64,520",94.6,16,"67,659",99.0
Atlanta,Falcons,NFL,2015,8,"70,355",98.8,8,"71,478",94.8,16,"70,916",96.7
Buffalo,Bills,NFL,2015,8,"69,880",95.6,8,"72,720",99.8,16,"71,300",97.7
Philadelphia,Eagles,NFL,2015,8,"69,483",102.8,8,"74,845",97.4,16,"72,164",99.9
