,GeoName,IndustryClassification,Description,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
3366,"San Francisco-Oakland-Hayward, CA",55,   Management of companies and enterprises,8673.2,8712.8,7836.6,8195.1,9125.4,9249.8,11567.2,12412.5,12846.4,12525.1,13110.3
3367,"San Francisco-Oakland-Hayward, CA",56,   Administrative and support and waste management and remediation services,9587.3,9546.8,8730.7,9512.4,9883.7,10375.2,10028.3,10665.5,10910.2,12031.3,12839.6
3370,"San Francisco-Oakland-Hayward, CA","61, 62","  Educational services, health care, and social assistance",19255.6,20667.8,21064.7,22433.0,22519.3,23124.4,23694.3,24252.7,25525.7,26214.8,27301.4
3371,"San Francisco-Oakland-Hayward, CA",61,   Educational services,2705.4,2815.3,2958.6,2938.9,3002.1,3081.7,3147.1,3396.8,3444.8,3423.4,3479.9
3372,"San Francisco-Oakland-Hayward, CA",62,   Health care and social assistance,16551.1,17852.3,18106.1,19494.6,19517.2,20042.7,20547.6,20843.5,22080.0,22803.0,23843.9
3376,"San Francisco-Oakland-Hayward, CA","71, 72","  Arts, entertainment, recreation, accommodation, and food services",12329.3,13036.9,11647.9,12066.9,13033.8,13300.2,13898.0,14620.7,15512.8,16079.1,16120.9
3377,"San Francisco-Oakland-Hayward, CA",71,"   Arts, entertainment, and recreation",3411.6,3612.7,3504.1,3732.9,3831.1,3962.1,4209.2,4342.1,4491.0,4865.5,4763.2
3380,"San Francisco-Oakland-Hayward, CA",72,   Accommodation and food services,8921.5,9428.1,8143.8,8334.0,9203.0,9338.6,9690.3,10278.0,11018.0,11216.4,11355.9
3383,"San Francisco-Oakland-Hayward, CA",81,  Other services (except government and government enterprises),7418.1,7086.5,6631.9,6460.3,6571.7,6652.0,6995.4,7244.7,7435.8,7590.6,7698.1
3388,"San Francisco-Oakland-Hayward, CA","11, 21",Natural resources and mining,5483.7,,4015.0,2058.7,2433.0,2571.9,1956.3,1205.0,1534.5,1300.2,890.0
3389,"San Francisco-Oakland-Hayward, CA","42, 44-45",Trade,,,29290.6,30321.1,31174.6,32155.0,33950.1,36202.7,38880.2,39956.5,42511.8
3395,"San Jose-Sunnyvale-Santa Clara, CA",11,"  Agriculture, forestry, fishing, and hunting",,,,,,280.4,,,,509.1,461.9
3398,"San Jose-Sunnyvale-Santa Clara, CA",21,"  Mining, quarrying, and oil and gas extraction",,,,,,,,,,53.0,49.5
3402,"San Jose-Sunnyvale-Santa Clara, CA",22,  Utilities,,,,,,919.0,,,,,
3403,"San Jose-Sunnyvale-Santa Clara, CA",23,  Construction,5420.8,5422.9,4244.2,3464.2,3581.0,4095.9,4522.8,4689.3,5413.5,6150.2,6145.3
3404,"San Jose-Sunnyvale-Santa Clara, CA",31-33,  Manufacturing,38018.6,38071.5,37413.2,41400.7,45281.6,51019.0,52441.4,57344.6,61130.5,65091.9,71454.1
3426,"San Jose-Sunnyvale-Santa Clara, CA",42,  Wholesale trade,11094.9,10929.7,8970.1,9298.8,10128.0,9484.3,,,,,
3427,"San Jose-Sunnyvale-Santa Clara, CA",44-45,  Retail trade,7428.2,6960.0,6305.1,6862.3,7046.2,7539.8,8358.5,8572.7,9100.6,8804.5,8924.7
3428,"San Jose-Sunnyvale-Santa Clara, CA",48-49,  Transportation and warehousing,,,,,,968.4,1091.1,1168.4,1235.6,1278.9,1236.8
3437,"San Jose-Sunnyvale-Santa Clara, CA",51,  Information,17316.2,17856.3,16925.4,21873.2,25068.8,23652.7,27125.4,29557.0,,,48407.2
3442,"San Jose-Sunnyvale-Santa Clara, CA","52, 53","  Finance, insurance, real estate, rental, and leasing",22907.7,22847.9,22538.5,22950.4,23364.7,23633.6,24029.7,25107.2,27185.0,27820.2,31755.5
3443,"San Jose-Sunnyvale-Santa Clara, CA",52,   Finance and insurance,3525.5,3332.0,3673.3,3667.4,4222.8,4511.2,4824.4,5082.0,5167.2,4689.6,4782.5
3448,"San Jose-Sunnyvale-Santa Clara, CA",53,   Real estate and rental and leasing,19384.2,19543.6,18865.2,19284.8,19115.8,19077.0,19131.2,19941.2,21995.7,23262.8,27292.3
3451,"San Jose-Sunnyvale-Santa Clara, CA","54, 55, 56",  Professional and business services,26277.8,27313.0,25106.4,26754.3,29135.7,,31921.8,34866.7,39923.6,44412.6,44851.4
3452,"San Jose-Sunnyvale-Santa Clara, CA",54,"   Professional, scientific, and technical services",20400.1,,,,,23094.3,,,,,
