Date,Atlanta,Boston,Charlotte,Chicago,Cleveland,Dallas,Denver,Detroit,Las Vegas,Los Angeles,Miami,Minneapolis,New York,Phoenix,Portland,San Diego,San Francisco,Seattle,Tampa,Washington
2004-07-01,121.2902951,168.1412053,112.7418406,143.231923,117.9166144,115.7740408,129.9698039,121.6004115,193.5972926,209.2972257,183.3186231,156.5417832,175.6484901,135.8000162,128.4537792,221.8727273,172.0944844,132.2574166,159.9502663,189.8993662
2004-08-01,121.7247723,169.2891258,112.5201328,143.8474902,118.0749692,115.9086707,130.3521756,121.6044658,199.396916,211.1491454,186.6992081,157.3125361,177.2841048,137.5650169,129.6290817,225.1220558,174.5344868,133.1196577,162.5786829,193.0503833
2004-09-01,122.2428053,170.1588781,112.5938141,145.1819639,118.5327726,115.9402314,130.5140579,121.7997819,203.0196693,212.7178339,190.3905732,157.2980094,179.1222235,140.5732085,131.166204,227.9869174,177.0168445,134.2341796,165.0829394,196.118762
2004-10-01,122.7244387,172.0484382,113.0478842,146.166401,118.6331344,116.2280894,131.2708983,122.1114938,205.266161,213.8687804,193.5435978,158.1867901,181.1255539,143.8046772,132.7209351,230.2674032,180.0477812,135.2370241,167.9596184,199.5471601
2004-11-01,123.2330189,173.0521173,113.8260734,147.2503154,119.3184199,116.465998,131.8710907,122.4379796,206.8568402,216.0224028,197.0715236,158.8701195,182.9294218,147.6961855,134.0958145,231.7628922,183.2781888,137.2847102,170.5882343,203.152131
2004-12-01,123.9485806,174.3183608,114.7655454,148.5852819,119.7533241,117.0353636,132.7550595,122.7017003,208.1852244,218.1291871,200.8735375,159.6756168,184.6001876,152.1519788,135.2205224,234.3001273,187.11434,139.1152284,173.570227,206.9746225
2005-01-01,124.6364979,175.7590903,115.1299068,150.0412227,121.1346851,117.557846,133.3952042,123.2648352,209.1559457,221.471268,205.3398647,161.3988004,187.1729788,156.3291319,136.7749613,236.7145158,191.6210845,141.6265145,177.2420316,210.7999377
2005-02-01,125.4442927,177.9353966,115.6424228,151.8230671,121.9016142,118.268523,134.3703156,123.9567251,211.679717,225.2073513,210.0508613,162.6765602,189.7929612,161.6481757,138.2768224,239.0281674,196.0190227,143.0345843,180.8353755,215.1805876
2005-03-01,126.1905186,179.4603974,115.4453314,153.9954175,121.6296412,118.9371485,134.6566938,124.7631099,213.6633236,229.7469315,215.9587898,163.7647066,193.1876384,167.797153,140.1986246,239.9156371,200.4687911,145.3319225,185.2658028,220.9929085
2005-04-01,127.0067832,180.4936493,115.4655244,154.6039248,121.8775807,119.0334134,135.0899851,125.5386781,216.1934717,233.4435915,222.3494085,165.0675366,195.164634,174.6365973,142.1045084,241.2985795,202.3075347,146.770405,188.447289,225.7638183
2005-05-01,127.2912857,180.7103805,116.0205534,155.2749203,121.9076119,119.2790551,135.1289017,126.4999923,217.9856004,237.1054611,227.5602767,165.1698084,196.7324693,181.1306653,144.4768901,242.3290686,204.8211612,148.7715314,192.0070726,229.7370572
2005-06-01,127.8154665,180.0832614,116.989805,156.0730277,121.6118875,118.9965534,134.9384126,125.8619775,219.4370301,240.5833356,233.9546447,165.4179047,198.1975211,188.9478443,147.5672487,243.6538068,207.1950267,150.7868028,196.8025027,233.785261
2005-07-01,127.7642876,180.011949,117.6989482,156.61735,121.4492001,119.3746938,134.9697594,125.2639962,220.4597897,244.2625601,239.2237041,165.2084398,199.8116212,196.1594691,150.4187127,244.5163273,209.3077817,152.8297951,201.1150569,236.7812993
2005-08-01,127.9255533,179.7009375,118.5133865,156.5551887,121.4277133,119.5552179,135.2374434,124.6764641,222.0231159,248.2838162,244.9378911,165.3222696,201.5001098,203.0042762,153.4146586,245.5040393,210.7149979,155.1056974,206.3917432,238.9966349
2005-09-01,127.9456428,180.1476967,118.5906467,157.9664548,121.6556137,120.3367754,135.9088309,124.6545859,223.7733777,252.8411181,250.6965108,165.586522,204.0753338,209.5774363,156.4617888,245.9519888,212.6977181,157.5274499,211.7130068,241.389075
2005-10-01,128.8470039,180.0131164,119.9284356,159.153794,121.9908255,120.9349003,136.6096354,125.1213429,225.5766953,257.7433508,255.8710942,166.9076731,206.6802702,213.6183371,159.0791956,247.71349,214.124884,159.8335519,217.891193,243.7677878
2005-11-01,129.7457808,180.8117297,120.3688557,161.3249935,122.4919215,122.1076474,137.2211737,125.6849596,227.9091477,261.663626,259.9216807,168.2862982,209.3224938,217.4109499,161.7748502,249.5464132,215.5145496,162.4826973,222.5752752,246.2203911
2005-12-01,130.7050085,180.4373067,121.5696466,162.646533,122.8402705,122.8337664,137.9194285,126.3437999,229.8883996,265.4191918,263.9398235,169.3292509,212.0536007,220.1777385,164.2339135,249.8691236,216.4135858,164.8273168,226.002403,248.4378566
2006-01-01,131.7088563,180.6259813,121.0272457,164.4479114,123.3595555,123.4430299,138.8041259,126.8727063,232.2726254,268.2086094,267.9690054,170.122662,213.506008,223.0111977,167.1032385,250.5741424,217.4019214,167.4200572,229.5233597,250.2725279
2006-02-01,132.3370652,179.5431202,122.1365447,165.921467,123.3113362,123.4820043,139.2904203,127.300639,234.400902,271.2338143,272.0326293,171.4529345,215.0554254,225.2538788,169.6750976,251.3769819,218.8210848,169.4736618,232.2849431,252.0225669
2006-03-01,132.6519765,180.0499625,122.7974402,168.016158,122.9772899,123.4651352,139.3427324,127.8696806,235.2298247,272.0844084,275.0764444,172.2540843,215.7196148,226.4856737,172.57718,251.6916937,219.2948932,171.7975934,235.9776894,252.8170418
2006-04-01,132.9499339,179.3443439,124.1243078,167.6166501,122.3419136,123.2151784,138.8122668,126.023157,235.7555079,273.0893651,278.1538426,173.7578265,216.4384917,227.7786357,174.0609904,251.3225653,218.8219716,173.0889517,237.9478985,252.2909733
2006-05-01,133.0248717,178.3258362,124.5838445,167.7171146,121.8625779,123.0901966,138.7354679,125.31853,235.3884845,272.9306679,279.6958573,172.8185911,216.6192688,228.0604418,175.3624313,249.6622217,218.024487,174.6902336,239.0039455,251.1930393
2006-06-01,133.0985297,176.4950399,125.2954671,167.1552188,121.943821,123.2349652,138.4480327,123.757632,233.677264,272.2181368,279.2094909,171.4454161,216.1953,227.5405666,176.7215798,247.9190677,216.5468745,176.5374175,237.9649513,249.3268006
2006-07-01,133.1433805,175.6015625,126.3321991,166.556528,121.8632895,123.5575567,138.3382534,122.6269983,233.0603784,271.4939675,278.4689112,169.2810947,215.0504284,226.0942324,177.7436137,246.0130749,214.9843038,178.2783115,236.9369721,247.0600071
2006-08-01,133.0778951,174.9174866,127.0427268,166.0197463,121.2219804,123.7201834,137.8093918,121.5904776,232.3993619,270.5875816,276.0375511,168.3742715,213.097444,224.5057966,178.8852103,244.1246435,214.3101019,179.7687813,235.46861,244.4149831
2006-09-01,133.0425968,173.8477579,127.7970057,166.4521269,120.5012638,123.6543808,137.6338189,120.6263465,231.8708842,270.4349713,276.3065528,167.3900369,213.0266997,222.9438861,179.5062265,243.3754949,213.5584179,181.0198314,234.138264,241.7351555
2006-10-01,133.7037867,173.7316305,128.0648774,166.481773,120.1599245,123.7012799,137.3678888,120.3463595,231.3006081,270.9984232,277.5085959,167.4693501,213.0284762,221.6856462,179.8754636,242.0884262,213.3630696,182.100097,232.3670676,241.779043
2006-11-01,134.077816,171.9108511,129.1145149,166.5132609,119.9503239,123.8222694,137.3140808,119.8420122,231.423265,271.902684,278.7702294,167.4145308,213.1602553,221.0431263,180.378443,241.4378196,213.2684725,183.4166344,231.3151322,241.5399659
2006-12-01,134.6471348,171.287394,129.828135,166.9590003,119.7455338,124.5055517,137.6489111,118.6543943,231.7687766,270.3218818,279.6896331,167.6614045,213.2538319,220.7067985,180.4554831,239.3339563,213.1592301,184.7358624,230.1074824,241.443282
2007-01-01,134.9839585,170.5766367,130.7787612,168.2654753,120.0881237,124.5039077,137.5968998,118.1639022,231.940076,270.8045774,278.9433355,168.731692,212.9110674,221.4236775,181.9062747,240.1531261,214.623691,186.3840792,229.758387,241.4111157
2007-02-01,135.6058808,171.2803314,131.3074257,169.482607,120.3265302,125.2197035,137.4073125,117.8817557,231.7996999,270.1368151,279.7902284,169.5971177,213.3135396,220.8685663,183.0628826,238.9047594,214.8833167,188.0176784,230.4398291,241.8003994
2007-03-01,135.8628077,171.8514986,132.0692361,171.2780483,120.4437293,125.4423788,136.981313,118.5910488,231.2333576,268.7475501,278.604538,169.9836691,214.2501185,220.1508954,185.0746487,236.6254695,215.3201924,189.5457645,229.5771059,241.4525333
2007-04-01,136.1229978,171.6527872,132.87121,168.7676826,119.2420695,125.6640924,136.5577889,116.6751522,228.6884856,266.4293174,276.1145811,169.8867608,213.6120585,218.1614527,185.4410051,234.6466246,213.5308726,189.958406,226.6763142,238.5802819
2007-05-01,135.4062041,170.9342905,133.2167729,167.3704811,118.4656424,125.2412659,136.7839304,113.9747402,226.0130089,264.2445831,270.9652815,167.4575176,211.8771743,215.5751322,185.3781886,232.3752454,210.7750146,190.5242761,223.0848344,235.8395584
2007-06-01,134.8920232,169.7067848,133.6496661,165.9739752,117.1433246,124.9356106,136.8232,111.4747184,222.1359985,261.3228379,266.1064526,164.8212891,209.708242,212.6540742,184.6276924,229.9090398,207.9660592,190.3815781,219.4425956,232.4461107
2007-07-01,134.0917314,169.2287796,133.6784732,164.6498534,116.749997,124.1437463,136.9569297,111.070772,219.112102,258.488891,260.118824,162.8521823,207.7749242,209.408749,184.2059918,226.6706457,205.5668263,190.1986172,215.4676706,229.3093292
2007-08-01,133.5627841,167.9864836,133.8646131,162.9402699,115.786516,123.9965264,136.8345154,109.7427049,214.8828498,254.8483639,253.9654324,161.2502452,205.373375,206.3313053,183.4688876,223.587368,204.5166785,189.5774093,211.1311426,226.4182883
2007-09-01,133.0457177,168.0403976,133.6804644,161.4001914,115.4591606,123.7293986,136.2157455,108.5118389,211.0532775,251.2994206,248.347027,159.8179041,204.8669611,203.0688541,183.2542872,219.8032979,203.115342,189.1467427,207.4934015,225.9124075
2007-10-01,132.6704277,167.4124188,133.4950582,160.3032334,114.6190383,123.5007313,134.7500141,106.5549762,206.3184838,247.0067606,243.0259224,158.5147917,203.9592789,198.0270238,183.1692921,215.381255,199.6474684,187.8754807,204.7373799,225.4357684
2007-11-01,131.3627861,166.9573115,132.9084335,159.6269384,112.8977902,122.4109999,133.0167041,104.1659218,200.74024,239.2346419,236.4152991,156.5207174,203.2961608,192.4280835,182.5847587,209.1088958,194.695479,186.4608944,202.0514155,223.0175601
2007-12-01,130.4421314,165.5280867,133.007919,159.3514818,112.3000997,121.7877984,131.607409,102.4542094,195.972888,233.1140675,230.5842081,154.5014979,201.7193992,186.8950068,182.6388552,203.4701686,189.9933131,185.7325117,199.5334744,219.2371463
2008-01-01,129.6992031,164.752559,133.2419357,157.5286272,110.0875657,120.5782357,130.9372041,100.3784885,186.8675547,226.1116059,225.022122,152.0501114,200.8048789,181.1202055,181.0853201,199.9368103,186.6337195,184.4660831,195.8583663,215.6564981
2008-02-01,128.7057284,163.5284471,133.4834729,155.9694181,109.6489773,120.376434,130.2579134,98.6448152,178.6060441,217.7718713,219.1623058,149.0824547,199.444615,175.055241,179.6389532,193.1881169,178.8522344,183.5421115,190.778636,211.6734911
2008-03-01,127.4959959,162.2226839,133.2226404,155.2442033,109.4401592,121.4663583,130.3514135,97.92413065,171.1939645,210.5813857,210.7764473,146.9623899,198.8306517,169.7088261,178.0016085,188.0430153,172.5696802,181.7309685,185.1956266,207.6832225
2008-04-01,125.6019015,160.9596903,132.7720685,153.9317461,111.2723046,121.475531,130.1906312,96.26818074,167.2566519,205.1006513,202.9097634,144.6313328,197.1559541,163.9206562,177.0050368,182.183959,166.7359407,180.7616013,180.8908403,203.7338292
2008-05-01,124.627306,160.576831,132.8900206,152.0079694,108.9710215,121.2994095,130.1231428,94.58752787,162.13428,199.4330844,194.5105104,143.4108444,195.8419092,158.5401747,175.6269528,178.5035418,162.5593316,178.422245,178.0672261,199.8656043
2008-06-01,123.0791338,160.5470986,131.9288301,149.959634,108.2958729,120.7399521,130.185374,93.36344214,159.191256,195.1335909,190.7690899,141.8664614,194.8404244,153.2311288,173.8595225,174.3506978,158.501356,176.6102668,174.9349157,196.1753924
2008-07-01,121.9394691,159.6734654,131.1678754,147.5456241,107.2176261,120.8145172,130.2332622,92.30117161,154.2712642,190.6762095,186.2168048,140.9068367,192.564118,147.9989041,171.7355987,169.8619924,154.1051321,174.2166323,173.1494752,192.712608
2008-08-01,121.095585,159.4915613,129.9702356,145.9390108,107.7171616,120.540888,129.6115672,90.41552837,149.6928434,186.6491654,182.0139004,138.4064774,191.070943,142.9871086,169.262067,165.7396489,148.1592563,172.5327432,172.3214591,190.4384775
2008-09-01,120.1205594,158.2203069,128.9089312,144.2132059,107.995913,120.3323675,128.7504278,87.78410755,145.340586,181.8455478,177.4286644,136.4175404,189.6575564,138.2661687,167.3326721,161.8925382,142.8338314,170.3007502,168.7108319,186.8376232
2008-10-01,118.682909,157.4359481,127.5317282,142.3479258,107.5534836,119.680533,127.6937243,84.55838507,141.1220532,178.0673554,172.4311025,132.5814931,187.8090924,133.3956509,164.5995753,157.9384983,137.586042,168.5240885,164.0198757,182.8718837
2008-11-01,116.6989398,154.8419158,125.8762701,139.5261586,107.0969175,118.3615069,127.3274428,82.51634958,137.1259577,174.9519588,168.4884419,130.6160433,185.5063741,129.1729148,161.7105857,155.1518332,134.6817579,165.5518403,159.8717716,179.5596238
2008-12-01,113.9781634,153.9974848,123.5178305,136.7115031,105.5760926,116.5759459,126.4868432,80.24516502,131.2223102,171.4440067,164.2680816,125.2874335,183.3148497,123.432817,158.6431193,152.9065296,130.6320507,161.0676782,155.7516364,176.3628252
