DATE,Atlanta,Boston,Charlotte,Chicago,Cleveland,Dallas-Fort Worth,Denver,Detroit,Las Vegas,Los Angeles,Miami-Fort Lauderdale,Minneapolis-St. Paul,New York City,Phoenix,Portland,San Diego,San Francisco Bay Area,Seattle,Tampa Bay Area,Washington
2012-03-01,85.154112806459,149.623846909847,111.284559033213,107.305501289011,97.46086123186,116.519723891716,126.10718120100401,70.802368465321,90.77338345855499,162.312559531521,142.376516969303,113.786513248704,160.561750958369,107.680228452275,131.639817965373,151.372772695578,129.295801680717,133.97462427629,127.061469758089,180.33799325812802
2012-04-01,85.716301354521,148.99356989295,112.059894483936,107.04150769901699,98.288256394755,117.10620493300101,126.829029243878,70.20031440426999,91.565549149875,163.681888117334,142.836485594753,114.181788517038,160.994437536997,109.969574428103,133.14799549004601,152.54231147042802,131.125621275335,134.468584446766,128.917234556695,182.79158185927602
2012-05-01,87.50512765689899,150.668602189508,112.3980839801,109.979589377677,99.425433427815,117.92065633535101,128.10088648902598,72.535729889304,92.85550506243999,165.541563361935,143.64317056433902,115.427443070411,161.726903874345,112.173738445889,134.748868700149,152.817014554559,133.563655968013,136.06441197215298,130.369832226455,185.44525481549198
2012-06-01,89.60799670864401,152.274856249184,113.038213385396,112.021912682435,100.00258996394,118.232283970282,129.20253244877,74.80605120741201,93.81088693256001,167.255345474173,145.307490474048,117.94853173198,162.559850161005,114.172008763051,137.036502347982,153.572208559539,136.278829792582,137.444488470764,131.672508209291,186.95322673353698
2012-07-01,91.245129467141,153.646796276806,113.78792093111099,113.104503547743,99.96292749262301,118.768547935379,130.36926170846502,76.09464638165,94.11830567382299,168.66220042438,147.03877739214198,120.293043400249,162.585615575941,116.247922007938,137.549603093405,154.482468325548,138.280280199657,138.654437056651,132.21002397903,187.70774363920899
2012-08-01,92.793646163948,154.64357470557698,114.911151376201,112.95752839921002,100.510881701579,119.17085727034299,130.95501271208,77.05743058206801,95.116305521199,170.646698273684,148.48348370919902,120.79227228108299,162.93801571564399,118.113479527484,138.191276235912,155.815469654724,139.319161688323,138.975886235671,132.950109300469,188.337689387123
2012-09-01,94.157878009585,154.630265968943,114.761478846513,112.80695706088,100.53436688013201,120.11709841936,132.280323732826,77.76104770331,96.54590324898199,172.714366296008,149.101642051441,122.177461727012,163.346003502419,119.791763669136,139.051250516249,158.473459640805,141.228516964217,140.144635598045,133.16568566082898,188.73295453882
2012-10-01,95.17276208517401,154.222775846937,115.02032516532302,112.54796469438699,100.982976263395,120.372815015951,133.152904578265,79.14476010765199,99.42490471944299,174.786721605792,149.707724105282,122.610597201255,163.108856824619,121.607142589229,141.025800036185,161.198194909075,143.27504126968398,140.9994870397,133.324604311754,188.932247606875
2012-11-01,96.54306799879801,154.280391597764,115.450912480051,113.095620645835,100.911116922597,121.18644206216999,134.614386322185,80.147699144756,100.308516202278,176.54058268757197,151.046335064048,124.550954486142,162.49135645188102,123.63818584158199,142.118257408771,163.631344971911,146.61262646674498,142.75193901298098,133.858048634342,189.28077253388
2012-12-01,97.371221563835,155.270479703278,116.27747525797199,113.644256093055,101.523900611915,121.845520863905,135.392539054974,81.322705911473,102.616518687457,179.572384826155,152.605326416136,126.05021967698299,162.697783581802,125.48963109910801,142.263357519521,165.582344062647,148.859421603167,143.637572024235,134.668519167334,190.40143882357899
2013-01-01,99.011787672999,155.99012525193,117.142673160597,114.14371817540199,101.73726865769599,122.64982034348499,136.458743600552,82.235280867483,104.465925349856,182.19537576375998,154.14760282700502,127.284750501799,162.790766474014,127.65396177262501,143.481527477837,165.6494685905,151.221516071418,144.979464447514,137.03186366571302,190.88973869538003
2013-02-01,99.87506929695299,157.305510121368,117.741175740772,114.760225736657,102.17794607619801,123.18055847302,136.980666466799,82.45335763987799,106.564154658379,184.90163479903703,155.375808092603,128.141946010047,163.77766137354098,129.549524790838,144.868107118296,166.666477702118,153.263289870277,145.16549779164498,138.68753489746402,190.64700354482704
2013-03-01,101.01594538549101,159.099244280848,119.481912907779,115.094209467987,102.66663878717199,124.12903357183399,138.022686681367,84.157369114602,109.410319688496,188.94999978586296,157.34706854763598,127.48730059135099,163.31751293865298,131.609282381641,148.157710445266,169.42587623887698,157.309043759876,147.862727373255,141.510754311728,193.65773578734
2013-04-01,103.190022467305,160.659698877636,120.49838596463002,116.60097329197599,103.253990724402,125.523694678148,139.037424557051,85.04304574790599,111.86721703265499,193.86143462233105,160.813083822085,130.146850719886,164.848934188832,133.296095091012,149.937241328754,174.676649892383,161.748572952894,149.302089963125,143.175471158974,195.463229900015
2013-05-01,104.93051586433701,161.653470319712,121.156345388086,118.819100257772,103.34152777482001,126.816541628442,140.36090366300698,87.066170196551,114.26568080260401,196.94515939625,163.696604701665,130.90340808985098,166.028387063338,135.140237408258,151.383843357215,179.020955049876,165.869746418837,151.929230153168,144.440009707844,197.056611855002
2013-06-01,106.765988875231,162.546396596578,121.792896157572,119.85750975581499,103.876562201805,127.938861755177,141.427976554107,87.780727165544,116.91063039737699,200.328040025722,166.508375358177,131.256108015589,167.072371132297,136.711245091662,153.027246961057,183.030112862468,169.44794455162202,153.447037476014,146.485517812116,197.49224517226398
2013-07-01,108.45748233494601,163.573475042251,122.20415978398998,121.94525749106,104.10381989556299,129.103642618661,143.150204988687,88.878642568039,119.805251577514,203.83384706016895,167.362014221066,131.915988351539,167.885013370357,138.30668815221,154.444406487847,186.080343324523,172.916358692267,155.90862464544,149.131635061567,199.219248921854
2013-08-01,110.29818957751301,164.818981678517,123.531219750941,123.081361910748,104.31810720230601,130.22622192752,144.53771314334,89.94289500145,122.878026923397,207.92163225729198,168.939805800956,133.511907821904,168.901593747054,140.23746163130699,156.35904517381002,189.613954038654,175.466678388803,157.416334853851,152.08727070682102,200.633134256721
2013-09-01,112.059557290884,166.520418224065,123.79057340177,124.25352925640699,105.214838108514,131.212188738489,145.69100982511802,91.507804953128,124.686354317042,210.769509851338,170.700006117466,134.979011866863,170.319498018794,142.25780946077802,157.988342662024,191.830731368339,178.19720610253898,158.981758978726,152.937479678329,202.499871416104
2013-10-01,113.325683527043,167.68203525373102,124.855464749356,125.37168452411899,105.24688563916901,132.1496036071,146.035529945602,93.067774778024,126.485833594266,213.681091022497,173.47221406977798,137.004514063062,171.39714209127501,143.738610386346,159.160764937352,193.29864033466,178.969237746278,159.883951116064,153.780415998162,203.41594711462398
2013-11-01,114.28638793359801,169.472999360405,124.86282199726801,126.01717204041599,105.80219299216299,133.234623873005,146.769740042976,94.222331771431,127.84512423655701,215.070333942026,176.065749116908,138.02753178543,172.477266287046,144.449911404126,160.159782905076,194.418392292523,180.986292028227,160.895771921495,154.891751733244,204.38907488219897
2013-12-01,114.94004053200399,170.298623068882,125.346278146748,126.75307039652901,105.007768604609,134.25358526005502,147.699297715948,95.02070218206998,128.934468101881,216.158212544477,178.002211938132,138.571037255782,172.82203755593497,144.7582723647,161.202512397317,195.57096349772,182.70442996758496,161.755192181855,155.871011224144,205.906032785615
2014-01-01,115.45059151529101,170.220100471737,125.498186109217,126.58871409095501,105.558542844778,134.81997859565,148.598166634809,95.256359025704,130.617744251123,216.537335282052,179.63282445715302,139.296432005061,173.558269488115,145.234695522064,162.407449130093,197.637430597482,186.007693479761,162.355306489014,157.23639092015,206.969399757809
2014-02-01,115.59369719056299,170.42150203697798,125.365477844676,126.854384074788,104.998705012508,135.458264943324,149.14084822408898,95.334183217403,131.33390595895202,218.334752414374,180.151457098997,139.553495171537,173.58530594403499,145.550385310459,163.897938512846,199.517915224851,187.288860970889,163.533068593969,156.86846944357902,207.566168449006
2014-03-01,116.412278782475,171.450289778757,125.16004348721901,127.70701658497102,106.35775419737101,136.156014114181,150.144345706668,96.669907933435,132.528159054805,220.12154331703601,182.34449430046504,141.30923369008002,173.52824916321603,145.956686321499,165.20017723948098,200.866524772087,189.738631238844,164.503671800594,156.19688435441003,209.14340163724603
2014-04-01,116.80027208102301,174.70498942466202,125.48301383942601,128.38494791285498,106.073848614112,136.96097530657,151.009286476958,96.922416399713,132.76934021224199,220.499048928174,183.799855616693,141.02897673889498,173.42140930984,146.032641412481,166.25553703409201,201.163557932854,190.6596260175,165.424753701414,157.379238789362,208.270229352411
2014-05-01,116.490489706992,174.771725233666,126.440550735717,128.254486326002,105.78914351677601,137.679915204396,151.75681932471,96.90944494648501,133.335500007841,220.823831839144,184.814070615607,140.90817968367202,173.488656222476,146.087658743598,166.366139534558,201.148686600277,191.59237488418705,165.759347083698,158.956176928817,207.906903552342
2014-06-01,116.186045554548,174.015473742795,126.22326413129299,127.85514629136,104.82962751333599,138.39401576014401,152.4221543168,96.42492509667801,134.421635671276,221.435683686567,185.45461574636002,139.83118713001198,174.15295853431599,146.201568238005,166.93203378491,201.32850956925705,192.033350135982,166.417114825645,159.995089252325,207.552208581888
2014-07-01,116.180196585845,173.145572579603,126.735110978757,127.33540009218201,105.11678768380699,138.966331300707,152.911849001071,96.22032679073799,134.858067225544,222.014893010192,186.08357159049703,139.3662244301,174.617391936486,146.242301843847,167.167240788589,201.37321787975498,191.672621436292,167.059098360084,160.275218950909,206.9538704616
2014-08-01,116.558592789113,173.47476338509705,126.878558223128,127.309708188872,105.381657940252,140.161742887873,153.942611079643,96.27032140586901,135.290182109557,222.07282258282,186.963157543246,139.324716536768,174.718093799944,146.415790042418,167.825966692912,201.28593367522998,192.090769807398,167.90778982550302,160.850652719709,206.88764908379798
2014-09-01,117.393263543412,174.158826018036,127.99370366093599,127.731179987565,105.849405422365,141.19308644895202,155.013351055968,96.281834847553,135.95714702714898,222.780620421046,188.530734022776,139.563002242735,174.780818122294,146.610217072273,168.626032808456,201.671687134608,193.52486552072895,168.739144582715,161.59983659237102,206.944404805401
2014-10-01,118.47434956811001,175.023820438936,128.399188348459,128.081491610677,106.112658556019,142.357878701439,156.689490016595,96.789487412054,136.476249125008,224.502984030601,189.95656234397399,140.160891776827,174.786375106738,146.87293709469802,169.30696969306,202.566555333442,196.141094400811,170.14537361158898,163.271054174312,207.77885267378798
2014-11-01,119.742039593624,175.97786074850498,128.95779699108,128.35513142269198,106.382615886688,143.41563476683902,157.876859943453,97.007808669595,137.536013681631,226.339357330148,191.333860889782,140.231986693899,174.637557154081,147.473147042693,170.955355061705,204.54296724099098,197.68666745382998,170.963968273789,165.154621883889,207.99565744984199
2014-12-01,120.592443608344,176.63174287969605,129.646735825869,128.46085277760798,106.528822734242,144.262841074068,159.809420884741,97.51314008077601,137.862825568413,227.997947543874,192.944774431684,141.102493475969,175.58487369332695,148.226949218094,172.32671158166,205.36223943082803,199.87023915022598,172.637866337289,165.534033140194,208.54439074360002
2015-01-01,120.941500711051,178.23067098043097,130.583640067731,129.444676053434,106.90030164597799,145.58649855833,160.98430849227802,98.229250307778,138.406363441663,228.19953696532502,194.493133517915,142.021791483427,176.192873766794,148.877387403185,173.898904543845,207.276405592589,200.208338659477,173.445986622292,165.822065207605,208.73532246918097
2015-02-01,121.61537741430901,178.726789470666,131.936920047434,130.37801598363998,106.80136920753401,146.823971018531,163.624613093379,99.09937729638,138.887943999866,230.424910485379,196.35488174277302,143.334190824936,176.908918963801,149.593471852932,175.132339720837,208.17984167607102,205.149662557302,174.74007093431499,166.835004826602,209.48738222709
2015-03-01,122.134242854555,178.716509070456,132.074655753018,130.907396004393,107.18787535037399,148.528101356765,164.581011500216,100.450517032867,139.964901771778,231.65140414930198,197.788556455981,144.582647929434,176.858693436511,150.343419856998,176.255876017005,209.568930711448,208.516377342806,176.19826947125,168.235336757179,209.779418997615
2015-04-01,122.126223467924,177.249289281425,132.255619777733,130.54998624929502,107.23194580041799,148.817314062439,166.08828532981002,101.00991624171499,140.884334295444,233.082976725058,198.863010292084,144.651187038984,177.84775756505599,150.991978145888,177.552358345644,209.83183241683201,209.587010235799,177.12229529346902,168.702615656921,209.746764274719
2015-05-01,122.426977601993,178.413654769832,132.563489067495,130.165701033836,107.656155137465,149.323985051059,166.808514643745,101.327187011332,141.94529127639998,234.19539162295501,199.32783522712398,144.341709715706,178.233582586636,151.59728607843098,178.47709908898895,210.479942417558,210.29612834185798,177.689235245835,168.917704948379,209.311703580961
2015-06-01,122.869016625861,179.75466882578,132.816819559799,129.746668686119,107.798172304975,150.000990892205,168.034227101158,101.566320961456,142.371007159367,235.075161056495,199.696378545205,144.451662916278,178.604454676474,152.307683613091,179.93783771888698,210.270209581329,210.776289461946,178.409758945083,168.930858151405,209.727343274458
2015-07-01,123.46594050426,180.93495024176102,133.129533386235,129.442127859257,108.24218657717199,151.379234124259,168.842659336019,101.43828583359101,143.220699341814,235.57323735984298,199.92540493319302,144.539299826082,178.689540148504,152.99368777946,181.616295246399,212.332352543268,211.938949233088,179.19215733921502,169.88998372691003,209.793892648094
2015-08-01,123.75617807160201,181.78710117075298,133.262938564401,128.96771419581302,108.00220251737,153.02105585268998,170.706083622778,101.491195888134,143.494465843449,236.16550793389095,201.126390856525,144.605924350026,178.74350940308997,153.70699985477899,183.77632216601398,213.470931929064,213.18115838651198,180.912428118751,171.109844313857,210.02671859517704
2015-09-01,124.92295481747401,182.43004142384999,133.555898437122,129.59915434591102,107.877039463493,154.238125067759,172.242224786939,101.75741635153,143.827072321475,237.282060877104,203.101277163816,145.194299475901,179.21426672978,154.313877946383,185.87052857980598,215.20087245468602,215.631805871874,183.018574043258,172.31387398772,210.16154172590697
2015-10-01,125.72573619656099,183.642791422575,134.28580470433002,130.06508240023,108.111020998713,155.566026464113,173.938407476934,101.993919511961,144.253187011415,238.611051667771,204.924873165026,145.957451959939,179.645269013321,155.202235963735,188.131234572462,215.49347341047002,217.839585648603,185.577165849262,173.71782224248,210.42060526610803
2015-11-01,126.39228703826099,183.87149899408797,135.570391145853,130.949123200766,108.79078658155399,156.726252702437,175.260713585505,103.14569760549101,144.78330216419,240.15324561471002,206.646308112448,146.985446246614,180.317216048381,156.104276965731,190.13935714689495,217.28810614025903,219.444628887015,187.91719557685502,174.874316453711,211.29980169060505
2015-12-01,126.953290878241,184.428484419705,136.575740955171,131.458447482629,109.35973363593,157.880434967285,176.167902839556,104.147250571621,146.007375069933,241.629639504661,206.60259254316398,147.817394594423,180.550895888548,157.46768752847998,192.042385790274,219.926937829561,220.393862352214,189.69240579771198,176.653040779439,211.36368980121398
2016-01-01,127.800361643762,184.527670869655,136.71922762826202,131.787855130069,109.943153834561,158.751407450765,177.332696682908,104.89438890627301,146.733914239154,243.408692587389,207.515228749858,148.422439684471,180.64556232219897,157.76167858233998,194.20447104013002,221.31471443527,221.014797336732,191.56474279404802,177.721568487399,212.179058205924
2016-02-01,128.78919620426,185.128084244842,137.266426776607,132.160378485987,110.207463412494,159.751616851054,179.133632984236,105.219943848107,147.835133646833,245.41232117146,208.164275586856,148.71874730112302,180.876456596456,158.40395335588002,195.673578106885,220.953833045318,223.33056808550398,193.06547158203801,179.292129246338,211.606526830226
