DATE,MIXRSA,MNXRSA,NYXRSA,PHXRSA,POXRSA,SDXRSA,SFXRSA,SEXRSA,TPXRSA,WDXRSA
2006-09-01,276.306552808315,167.39003689100701,213.026699746795,222.943886057301,179.50622648187303,243.375494900052,213.55841791854698,181.019831400449,234.13826397554502,241.735155501646
2006-10-01,277.508595937962,167.46935010971,213.02847618885897,221.68564620916501,179.875463586427,242.088426205246,213.363069619649,182.10009702613,232.367067573918,241.77904302712298
2006-11-01,278.770229380139,167.414530791587,213.16025527524602,221.043126331461,180.37844299424802,241.437819638544,213.26847249574502,183.41663438288003,231.315132238259,241.539965868651
2006-12-01,279.689633076838,167.661404459231,213.25383191391998,220.70679847117802,180.455483051428,239.333956282928,213.159230087565,184.735862416477,230.10748240649897,241.443282038573
2007-01-01,278.943335480275,168.73169202759,212.911067430658,221.42367745100103,181.906274714381,240.15312607647098,214.623691031175,186.38407922575,229.75838698240102,241.411115729924
2007-02-01,279.79022837973304,169.597117667773,213.31353958638098,220.868566258778,183.062882608339,238.904759392091,214.88331673868,188.017678428638,230.43982914001202,241.80039937277098
2007-03-01,278.60453795125596,169.983669145855,214.250118542444,220.15089541750197,185.074648731269,236.62546946070597,215.320192444097,189.545764541348,229.577105899594,241.452533275938
2007-04-01,276.11458113553,169.88676075691998,213.61205846835,218.161452720159,185.441005100962,234.646624604995,213.530872580286,189.95840598925,226.67631423916802,238.580281935654
2007-05-01,270.965281488148,167.457517648817,211.877174333634,215.575132167821,185.378188606772,232.375245428896,210.77501463022,190.52427607479,223.084834392862,235.839558357089
2007-06-01,266.106452568165,164.821289078108,209.70824195064702,212.654074158428,184.62769242479698,229.909039841157,207.966059240196,190.38157812764703,219.44259557680698,232.44611068024
2007-07-01,260.118824007103,162.852182259033,207.774924209598,209.408749002268,184.205991796979,226.670645683185,205.566826278819,190.198617161836,215.46767060651402,229.309329168116
2007-08-01,253.965432363117,161.25024519044902,205.373375002757,206.331305344824,183.468887612006,223.587367957533,204.51667849146,189.577409283653,211.131142614654,226.418288348098
2007-09-01,248.347026966543,159.817904085256,204.866961131702,203.068854050779,183.25428721042,219.803297938172,203.115341990717,189.14674271753103,207.49340153491798,225.91240747012
2007-10-01,243.02592242457803,158.514791745441,203.959278913685,198.027023787627,183.169292135,215.381254958959,199.647468449538,187.87548072779097,204.737379855623,225.43576843554402
2007-11-01,236.41529905978697,156.520717442178,203.296160757383,192.428083482933,182.584758746683,209.10889578003398,194.695478981096,186.460894404665,202.05141548794103,223.017560123208
2007-12-01,230.584208077738,154.50149791936002,201.719399195763,186.895006812582,182.638855237499,203.47016855243302,189.99331313815497,185.732511734524,199.533474427085,219.23714633134
2008-01-01,225.022122045582,152.050111421157,200.804878928848,181.120205461918,181.085320067164,199.93681032293202,186.633719497322,184.466083136136,195.858366273856,215.656498087584
